"","Study","Ref_index","Location","Country","Outbreak","Region","Years","Year.Mid","Decade","Age.group","Age.min","Age.max","Mean.Age","Antitoxin","Cases","Carriers","Deaths","CFR","CFR.Confid","Percent.of.Cases","Author"
"164","Lys 1890","54","Dorsetshire, England","UK","Outbreak","EUR","1890",1890,1890,"11-20y",11,20,16,"NO",30,NA,NA,NA,NA,NA,NA
"165","Lys 1890","54","Dorsetshire, England","UK","Outbreak","EUR","1890",1890,1890,"0-10y",21,70,46,"NO",8,NA,NA,NA,NA,NA,NA
"166","Both 2015","753","England","UK","Outbreak","EUR","2007-2013",2009,2000,"0-4",0,4,2.5,"YES",0,NA,NA,NA,NA,NA,NA
"167","Both 2015","753","England","UK","Outbreak","EUR","2007-2013",2009,2000,"4-14",4,14,9.5,"YES",1,NA,NA,NA,NA,NA,NA
"168","Both 2015","753","England","UK","Outbreak","EUR","2007-2013",2009,2000,"14-24",14,24,19.5,"YES",2,NA,NA,NA,NA,NA,NA
"169","Both 2015","753","England","UK","Outbreak","EUR","2007-2013",2009,2000,"25-44",25,44,35,"YES",0,NA,NA,NA,NA,NA,NA
"170","Both 2015","753","England","UK","Outbreak","EUR","2007-2013",2009,2000,"45-64",45,64,55,"YES",3,NA,NA,NA,NA,NA,NA
"171","Both 2015","753","England","UK","Outbreak","EUR","2007-2013",2009,2000,"≥65",65,80,73,"YES",2,NA,NA,NA,NA,NA,NA
"172","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"6",6,6,6.5,NA,2,NA,NA,NA,NA,8.3,"Fanning 1947"
"173","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"7",7,7,7.5,NA,0,NA,NA,NA,NA,0,"Fanning 1947"
"174","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"8",8,8,8.5,NA,3,NA,NA,NA,NA,12.5,"Fanning 1947"
"175","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"9",9,9,9.5,NA,1,NA,NA,NA,NA,4.2,"Fanning 1947"
"176","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"10",10,10,10.5,NA,1,NA,NA,NA,NA,4.2,"Fanning 1947"
"177","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"11",11,11,11.5,NA,0,NA,NA,NA,NA,0,"Fanning 1947"
"178","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"12",12,12,12.5,NA,2,NA,NA,NA,NA,8.3,"Fanning 1947"
"179","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"13",13,13,13.5,NA,3,NA,NA,NA,NA,12.5,"Fanning 1947"
"180","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"14",14,14,14.5,NA,6,NA,NA,NA,NA,25,"Fanning 1947"
"181","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"15",15,15,15.5,NA,5,NA,NA,NA,NA,20.8,"Fanning 1947"
"182","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"16",16,16,16.5,NA,0,NA,NA,NA,NA,0,"Fanning 1947"
"183","Esher","66","Esher","UK",NA,"EUR","1946",1946,1940,"17",17,17,17.5,NA,1,NA,NA,NA,NA,4.2,"Fanning 1947"
"184","Estonia","228","Estonia","Estonia",NA,"NIS","1991-1996",1993,1990,"1-4",1,4,3,NA,5,NA,NA,NA,NA,8.5,"Jõgiste 2000"
"185","Estonia","228","Estonia","Estonia",NA,"NIS","1991-1996",1993,1990,"5-9",5,9,7.5,NA,19,NA,NA,NA,NA,31.7,"Jõgiste 2000"
"186","Estonia","228","Estonia","Estonia",NA,"NIS","1991-1996",1993,1990,"10-14",10,14,12.5,NA,3,NA,NA,NA,NA,4.8,"Jõgiste 2000"
"187","Estonia","228","Estonia","Estonia",NA,"NIS","1991-1996",1993,1990,"15-19",15,19,17.5,NA,7,NA,NA,NA,NA,11.7,"Jõgiste 2000"
"188","Estonia","228","Estonia","Estonia",NA,"NIS","1991-1996",1993,1990,"20-29",20,29,25,NA,3,NA,NA,NA,NA,5,"Jõgiste 2000"
"189","Estonia","228","Estonia","Estonia",NA,"NIS","1991-1996",1993,1990,"30-39",30,39,35,NA,6,NA,NA,NA,NA,10,"Jõgiste 2000"
"190","Estonia","228","Estonia","Estonia",NA,"NIS","1991-1996",1993,1990,"40-49",40,49,45,NA,11,NA,NA,NA,NA,18.3,"Jõgiste 2000"
"191","Estonia","228","Estonia","Estonia",NA,"NIS","1991-1996",1993,1990,"50-59",50,59,55,NA,6,NA,NA,NA,NA,9.9,"Jõgiste 2000"
"192","Heyworth 1973","249","Gambia","Gambia","Outbreak","AFR","1971",1971,1970,"0-1",0,0,0.5,"NO",1,NA,0,0,NA,NA,"Heyworth 1973"
"193","Heyworth 1973","249","Gambia","Gambia","Outbreak","AFR","1971",1971,1970,"1-2",1,1,1.5,"YES",1,NA,0,0,NA,NA,"Heyworth 1973"
"194","Heyworth 1973","249","Gambia","Gambia","Outbreak","AFR","1971",1971,1970,"2-3",2,2,2.5,"YES",6,NA,0,0,NA,NA,"Heyworth 1973"
"195","Heyworth 1973","249","Gambia","Gambia","Outbreak","AFR","1971",1971,1970,"3-4",3,3,3.5,"YES",1,NA,1,1,NA,NA,"Heyworth 1973"
"196","Goole","335","Goole","UK",NA,"EUR","1901-1903",1902,1900,"<1",0,0,0.5,NA,2,NA,NA,NA,NA,NA,NA
"197","Goole","335","Goole","UK",NA,"EUR","1901-1903",1902,1900,"1-5",1,4,3,NA,55,NA,NA,NA,NA,NA,NA
"198","Goole","335","Goole","UK",NA,"EUR","1901-1903",1902,1900,"5-15",5,15,10.5,NA,116,NA,NA,NA,NA,NA,NA
"199","Goole","335","Goole","UK",NA,"EUR","1901-1903",1902,1900,"15-25",15,24,20,NA,18,NA,NA,NA,NA,NA,NA
"200","Goole","335","Goole","UK",NA,"EUR","1901-1903",1902,1900,"25-65",25,64,45,NA,22,NA,NA,NA,NA,NA,NA
"201","Goole","335","Goole","UK",NA,"EUR","1901-1903",1902,1900,"65",65,80,73,NA,1,NA,NA,NA,NA,NA,NA
"202","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"9",9,9,9.5,NA,1,NA,0,0,"0-0",NA,"Bjorkholm 1987"
"203","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"26",26,26,26.5,NA,1,NA,0,0,"0-0",NA,"Bjorkholm 1987"
"204","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"26",26,26,26.5,NA,1,NA,1,1,"1-1",NA,"Bjorkholm 1987"
"205","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"28",28,28,28.5,NA,2,NA,1,0.5,"-0.193-1.193",NA,"Bjorkholm 1987"
"206","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"29",29,29,29.5,NA,1,NA,0,0,"0-0",NA,"Bjorkholm 1987"
"207","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"34",34,34,34.5,NA,2,NA,0,0,"0-0",NA,"Bjorkholm 1987"
"208","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"37",37,37,37.5,NA,1,NA,0,0,"0-0",NA,"Bjorkholm 1987"
"209","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"42",42,42,42.5,NA,1,NA,0,0,"0-0",NA,"Bjorkholm 1987"
"210","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"49",49,49,49.5,NA,1,NA,0,0,"0-0",NA,"Bjorkholm 1987"
"211","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"62",62,62,62.5,NA,1,NA,1,1,"1-1",NA,"Bjorkholm 1987"
"212","Goteborg, Sweden","62","Goteborg, Sweden","Sweeden",NA,"EUR","1984-85",1984,1980,"80",80,80,80.5,NA,1,NA,0,0,"0-0",NA,"Bjorkholm 1987"
"213","Greece","550","Greece","Greece",NA,"EUR","1980",1980,1980,"6-7",6,7,7,NA,NA,4,NA,NA,NA,NA,NA
"214","Greece","550","Greece","Greece",NA,"EUR","1980",1980,1980,"8-9",8,9,9,NA,NA,3,NA,NA,NA,NA,NA
"215","Greece","550","Greece","Greece",NA,"EUR","1980",1980,1980,"10-11",10,11,11,NA,NA,0,NA,NA,NA,NA,NA
"216","Greece","550","Greece","Greece",NA,"EUR","1980",1980,1980,"12",12,12,12.5,NA,NA,0,NA,NA,NA,NA,NA
"217","Halifax","658","Halifax","Canada",NA,"AMR","1946",1946,1940,"0-14",0,14,7.5,NA,274,NA,NA,NA,NA,30.8,"Morton 1941"
"218","Halifax","658","Halifax","Canada",NA,"AMR","1946",1946,1940,"14-29",15,29,22.5,NA,535,NA,NA,NA,NA,60,"Morton 1941"
"219","Halifax","658","Halifax","Canada",NA,"AMR","1946",1946,1940,"≥30",30,80,55.5,NA,82,NA,NA,NA,NA,9.2,"Morton 1941"
"220","Ho Chi Min City, Vietnam","332","Ho Chi Min City, Vietnam","Vietnam",NA,"SEAR","2003",2003,2000,"1-3",1,3,2.5,NA,36,NA,0,0,"0-0",NA,"Murakami 2010"
"221","Ho Chi Min City, Vietnam","332","Ho Chi Min City, Vietnam","Vietnam",NA,"SEAR","2003",2003,2000,"4-6",4,6,5.5,NA,25,NA,0,0,"0-0",NA,"Murakami 2010"
"222","Ho Chi Min City, Vietnam","332","Ho Chi Min City, Vietnam","Vietnam",NA,"SEAR","2003",2003,2000,"7-9",7,9,8.5,NA,17,NA,0,0,"0-0",NA,"Murakami 2010"
"223","Ho Chi Min City, Vietnam","332","Ho Chi Min City, Vietnam","Vietnam",NA,"SEAR","2003",2003,2000,"10-14",10,14,12.5,NA,9,NA,0,0,"0-0",NA,"Murakami 2010"
"224","Ho Chi Min City, Vietnam","332","Ho Chi Min City, Vietnam","Vietnam",NA,"SEAR","2003",2003,2000,"≥15",15,80,48,NA,1,NA,0,0,"0-0",NA,"Murakami 2010"
"225","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"0-1",0,0,0.5,NA,701,NA,NA,NA,NA,NA,"Chakravorty 1974"
"226","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"1-5",1,4,3,NA,565,NA,NA,NA,NA,NA,"Chakravorty 1974"
"227","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"5-10",5,9,7.5,NA,278,NA,NA,NA,NA,NA,"Chakravorty 1974"
"228","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"≥10",10,18,14.5,NA,181,NA,NA,NA,NA,NA,"Chakravorty 1974"
"229","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"0-1",0,0,0.5,NA,36,NA,NA,NA,NA,NA,"Chakravorty 1974"
"230","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"1-5",1,4,3,NA,29,NA,NA,NA,NA,NA,"Chakravorty 1974"
"231","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"5-10",5,9,7.5,NA,10,NA,NA,NA,NA,NA,"Chakravorty 1974"
"232","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"≥10",10,18,14.5,NA,9,NA,NA,NA,NA,NA,"Chakravorty 1974"
"233","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"0-1",0,0,0.5,NA,13,NA,NA,NA,NA,NA,"Chakravorty 1974"
"234","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"1-5",1,4,3,NA,6,NA,NA,NA,NA,NA,"Chakravorty 1974"
"235","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"5-10",5,9,7.5,NA,4,NA,NA,NA,NA,NA,"Chakravorty 1974"
"236","Chakravorty 1974","383","India","India",NA,"SEAR","1970",1970,1970,"≥10",10,18,14.5,NA,6,NA,NA,NA,NA,NA,"Chakravorty 1974"
"237","MOHANTA AND PARIJA 1974","497","India","India",NA,"SEAR","1970-72",1971,1970,"<1",0,0,0.5,NA,2,NA,NA,NA,NA,NA,"MOHANTA AND PARIJA 1974"
"238","MOHANTA AND PARIJA 1974","497","India","India",NA,"SEAR","1970-72",1971,1970,"1-2",1,1,1.5,NA,20,NA,NA,NA,NA,NA,"MOHANTA AND PARIJA 1974"
"239","MOHANTA AND PARIJA 1974","497","India","India",NA,"SEAR","1970-72",1971,1970,"2-3",2,2,2.5,NA,24,NA,NA,NA,NA,NA,"MOHANTA AND PARIJA 1974"
"240","MOHANTA AND PARIJA 1974","497","India","India",NA,"SEAR","1970-72",1971,1970,"3-4",3,3,3.5,NA,16,NA,NA,NA,NA,NA,"MOHANTA AND PARIJA 1974"
"241","MOHANTA AND PARIJA 1974","497","India","India",NA,"SEAR","1970-72",1971,1970,"4-5",4,5,5,NA,11,NA,NA,NA,NA,NA,"MOHANTA AND PARIJA 1974"
"242","MOHANTA AND PARIJA 1974","497","India","India",NA,"SEAR","1970-72",1971,1970,"5-6",5,5,5.5,NA,6,NA,NA,NA,NA,NA,"MOHANTA AND PARIJA 1974"
"243","MOHANTA AND PARIJA 1974","497","India","India",NA,"SEAR","1970-72",1971,1970,"6-8",6,7,7,NA,3,NA,NA,NA,NA,NA,"MOHANTA AND PARIJA 1974"
"244","MOHANTA AND PARIJA 1974","497","India","India",NA,"SEAR","1970-72",1971,1970,"8-10",8,10,9.5,NA,3,NA,NA,NA,NA,NA,"MOHANTA AND PARIJA 1974"
"245","MOHANTA AND PARIJA 1974","497","India","India",NA,"SEAR","1970-72",1971,1970,"10-14",10,14,12.5,NA,1,NA,NA,NA,NA,NA,"MOHANTA AND PARIJA 1974"
"246","Norton 1907","690","Isleworth, England","England","Outbreak","EUR","1906-1907",1907,1900,"3",3,3,3.5,"YES",5,NA,0,0,"0-0",NA,NA
"247","Norton 1907","690","Isleworth, England","England","Outbreak","EUR","1906-1907",1907,1900,"4",4,4,4.5,"YES",8,NA,0,0,"0-0",NA,NA
"248","Norton 1907","690","Isleworth, England","England","Outbreak","EUR","1906-1907",1907,1900,"5",5,5,5.5,"YES",8,NA,0,0,"0-0",NA,NA
"249","Norton 1907","690","Isleworth, England","England","Outbreak","EUR","1906-1907",1907,1900,"6",6,6,6.5,"YES",9,NA,0,0,"0-0",NA,NA
"250","Norton 1907","690","Isleworth, England","England","Outbreak","EUR","1906-1907",1907,1900,"7-9y",7,9,8.5,"YES",13,NA,2,0.15,"-0.042-0.35",NA,NA
"251","Norton 1907","690","Isleworth, England","England","Outbreak","EUR","1906-1907",1907,1900,"10-12y",10,12,11.5,"YES",12,NA,0,0,"0-0",NA,NA
"252","Norton 1907","690","Isleworth, England","England","Outbreak","EUR","1906-1907",1907,1900,"13-15y",13,15,14.5,"YES",19,NA,0,0,"0-0",NA,NA
"253","Aminullah et al. 1968","2","Jakarta, Indonesia","Indonesia",NA,"SEAR","1965-1967",1966,1960,"0-2",0,1,1,NA,133,NA,48,0.36,"0.279-0.443",NA,"Aminullah et al. 1968"
"254","Aminullah et al. 1968","2","Jakarta, Indonesia","Indonesia",NA,"SEAR","1965-1967",1966,1960,"2-4",2,3,3,NA,150,NA,37,0.25,"0.178-0.316",NA,"Aminullah et al. 1968"
"255","Aminullah et al. 1968","2","Jakarta, Indonesia","Indonesia",NA,"SEAR","1965-1967",1966,1960,"4-6",4,5,5,NA,68,NA,14,0.21,"0.11-0.302",NA,"Aminullah et al. 1968"
"256","Aminullah et al. 1968","2","Jakarta, Indonesia","Indonesia",NA,"SEAR","1965-1967",1966,1960,"6-8",6,7,7,NA,29,NA,2,0.07,"-0.023-0.161",NA,"Aminullah et al. 1968"
"257","Aminullah et al. 1968","2","Jakarta, Indonesia","Indonesia",NA,"SEAR","1965-1967",1966,1960,"8-10",8,10,10,NA,5,NA,1,0.2,"-0.151-0.551",NA,"Aminullah et al. 1968"
"258","Aminullah et al. 1968","2","Jakarta, Indonesia","Indonesia",NA,"SEAR","1965-1967",1966,1960,"10-12",10,12,11.5,NA,11,NA,1,0.09,"-0.079-0.261",NA,"Aminullah et al. 1968"
"259","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"0-4",0,4,2.5,NA,71,NA,NA,NA,NA,74,"Vyse et al. 1953"
"260","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"5-9",5,9,7.5,NA,9,NA,NA,NA,NA,9.4,"Vyse et al. 1953"
"261","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"10-14",10,14,12.5,NA,1,NA,NA,NA,NA,1,"Vyse et al. 1953"
"262","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"15-19",15,19,17.5,NA,4,NA,NA,NA,NA,4.2,"Vyse et al. 1953"
"263","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"20-24",20,24,22.5,NA,6,NA,NA,NA,NA,6.3,"Vyse et al. 1953"
"264","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"25-34",25,34,30,NA,3,NA,NA,NA,NA,3.1,"Vyse et al. 1953"
"265","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"35-44",35,44,40,NA,1,NA,NA,NA,NA,1,"Vyse et al. 1953"
"266","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"45-54",45,54,50,NA,1,NA,NA,NA,NA,1,"Vyse et al. 1953"
"267","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"55-64",55,64,60,NA,0,NA,NA,NA,NA,0,"Vyse et al. 1953"
"268","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1939",1939,1930,"65",65,80,73,NA,0,NA,NA,NA,NA,0,"Vyse et al. 1953"
"269","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"0-4",0,4,2.5,NA,33,NA,NA,NA,NA,NA,NA
"270","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"5-9",5,9,7.5,NA,11,NA,NA,NA,NA,NA,NA
"271","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"10-14",10,14,12.5,NA,2,NA,NA,NA,NA,NA,NA
"272","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"15-19",15,19,17.5,NA,1,NA,NA,NA,NA,NA,NA
"273","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"20-24",20,24,22.5,NA,7,NA,NA,NA,NA,NA,NA
"274","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"25-34",25,34,30,NA,2,NA,NA,NA,NA,NA,NA
"275","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"35-44",35,44,40,NA,2,NA,NA,NA,NA,NA,NA
"276","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"45-54",45,54,50,NA,1,NA,NA,NA,NA,NA,NA
"277","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"278","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1940",1940,1940,"65",65,80,73,NA,1,NA,NA,NA,NA,NA,NA
"279","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"0-4",0,4,2.5,NA,35,NA,NA,NA,NA,NA,NA
"280","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"5-9",5,9,7.5,NA,4,NA,NA,NA,NA,NA,NA
"281","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"10-14",10,14,12.5,NA,2,NA,NA,NA,NA,NA,NA
"282","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"15-19",15,19,17.5,NA,3,NA,NA,NA,NA,NA,NA
"283","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"20-24",20,24,22.5,NA,3,NA,NA,NA,NA,NA,NA
"284","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"25-34",25,34,30,NA,2,NA,NA,NA,NA,NA,NA
"285","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"35-44",35,44,40,NA,0,NA,NA,NA,NA,NA,NA
"286","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"45-54",45,54,50,NA,0,NA,NA,NA,NA,NA,NA
"287","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"288","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1941",1941,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"289","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"0-4",0,4,2.5,NA,32,NA,NA,NA,NA,NA,NA
"290","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"5-9",5,9,7.5,NA,1,NA,NA,NA,NA,NA,NA
"291","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"10-14",10,14,12.5,NA,3,NA,NA,NA,NA,NA,NA
"292","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"15-19",15,19,17.5,NA,3,NA,NA,NA,NA,NA,NA
"293","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"20-24",20,24,22.5,NA,4,NA,NA,NA,NA,NA,NA
"294","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"25-34",25,34,30,NA,3,NA,NA,NA,NA,NA,NA
"295","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"35-44",35,44,40,NA,1,NA,NA,NA,NA,NA,NA
"296","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"45-54",45,54,50,NA,0,NA,NA,NA,NA,NA,NA
"297","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"298","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1942",1942,1930,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"299","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"0-4",0,4,2.5,NA,44,NA,NA,NA,NA,NA,NA
"300","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"5-9",5,9,7.5,NA,8,NA,NA,NA,NA,NA,NA
"301","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"10-14",10,14,12.5,NA,4,NA,NA,NA,NA,NA,NA
"302","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"15-19",15,19,17.5,NA,2,NA,NA,NA,NA,NA,NA
"303","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"20-24",20,24,22.5,NA,4,NA,NA,NA,NA,NA,NA
"304","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"25-34",25,34,30,NA,1,NA,NA,NA,NA,NA,NA
"305","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"35-44",35,44,40,NA,0,NA,NA,NA,NA,NA,NA
"306","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"45-54",45,54,50,NA,0,NA,NA,NA,NA,NA,NA
"307","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"308","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1943",1943,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"309","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"0-4",0,4,2.5,NA,73,NA,NA,NA,NA,NA,NA
"310","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"5-9",5,9,7.5,NA,5,NA,NA,NA,NA,NA,NA
"311","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"10-14",10,14,12.5,NA,3,NA,NA,NA,NA,NA,NA
"312","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"15-19",15,19,17.5,NA,4,NA,NA,NA,NA,NA,NA
"313","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"20-24",20,24,22.5,NA,5,NA,NA,NA,NA,NA,NA
"314","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"25-34",25,34,30,NA,1,NA,NA,NA,NA,NA,NA
"315","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"35-44",35,44,40,NA,1,NA,NA,NA,NA,NA,NA
"316","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"45-54",45,54,50,NA,0,NA,NA,NA,NA,NA,NA
"317","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
"318","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1944",1944,1940,"65",65,80,73,NA,0,NA,NA,NA,NA,NA,NA
"319","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"0-4",0,4,2.5,NA,115,NA,NA,NA,NA,NA,NA
"320","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"5-9",5,9,7.5,NA,6,NA,NA,NA,NA,NA,NA
"321","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"10-14",10,14,12.5,NA,11,NA,NA,NA,NA,NA,NA
"322","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"15-19",15,19,17.5,NA,8,NA,NA,NA,NA,NA,NA
"323","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"20-24",20,24,22.5,NA,6,NA,NA,NA,NA,NA,NA
"324","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"25-34",25,34,30,NA,3,NA,NA,NA,NA,NA,NA
"325","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"35-44",35,44,40,NA,0,NA,NA,NA,NA,NA,NA
"326","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"45-54",45,54,50,NA,1,NA,NA,NA,NA,NA,NA
"327","Vyse et al. 1953",NA,"Jamacia","Jamacia",NA,"AMR","1945",1945,1940,"55-64",55,64,60,NA,0,NA,NA,NA,NA,NA,NA
