"","Study","Ref_index","Location","Country","Outbreak","Region","Years","Year.Mid","Decade","Age.group","Age.min","Age.max","Mean.Age","Antitoxin","Cases","Carriers","Deaths","CFR","CFR.Confid","Percent.of.Cases","Author"
"36","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1945",1945,1940,"0",0,0,1,"YES",NA,NA,NA,0.37,NA,NA,NA
"37","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1945",1945,1940,"1-6",1,6,4,"YES",NA,NA,NA,0.07,NA,NA,NA
"38","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1945",1945,1940,"7-13",7,13,10.5,"YES",NA,NA,NA,0.02,NA,NA,NA
"39","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1945",1945,1940,"14-18",14,17,16,"YES",NA,NA,NA,0.01,NA,NA,NA
"40","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1945",1945,1940,"18",18,18,18.5,"YES",NA,NA,NA,0.02,NA,NA,NA
"41","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1946",1946,1940,"0",0,0,1,"YES",NA,NA,NA,0.12,NA,NA,NA
"42","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1946",1946,1940,"1-6",1,6,4,"YES",NA,NA,NA,0.07,NA,NA,NA
"43","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1946",1946,1940,"7-13",7,13,10.5,"YES",NA,NA,NA,0.02,NA,NA,NA
"44","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1946",1946,1940,"14-18",14,17,16,"YES",NA,NA,NA,0.01,NA,NA,NA
"45","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1946",1946,1940,"18",18,18,18.5,"YES",NA,NA,NA,0.01,NA,NA,NA
"46","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1947",1947,1940,"0",0,0,1,"YES",NA,NA,NA,0.1,NA,NA,NA
"47","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1947",1947,1940,"1-6",1,6,4,"YES",NA,NA,NA,0.08,NA,NA,NA
"48","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1947",1947,1940,"7-13",7,13,10.5,"YES",NA,NA,NA,0.04,NA,NA,NA
"49","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1947",1947,1940,"14-18",14,17,16,"YES",NA,NA,NA,0.02,NA,NA,NA
"50","Ruys 1949","657","Amsterdam","Netherlands","Outbreak","EUR","1947",1947,1940,"18",18,18,18.5,"YES",NA,NA,NA,0.02,NA,NA,NA
"51","Armenia","345","Armenia","Armenia",NA,"NIS","1990-1996",1993,1990,"0-1",0,0,0.5,NA,0,NA,0,0,NA,0,NA
"52","Armenia","345","Armenia","Armenia",NA,"NIS","1990-1996",1993,1990,"1-4",1,4,3,NA,10,NA,0,0,NA,11.9,NA
"53","Armenia","345","Armenia","Armenia",NA,"NIS","1990-1996",1993,1990,"5-14",5,14,10,NA,33,NA,6,0.18,NA,39.3,NA
"54","Armenia","345","Armenia","Armenia",NA,"NIS","1990-1996",1993,1990,"15-19",15,19,17.5,NA,6,NA,0,0,NA,7.1,NA
"55","Armenia","345","Armenia","Armenia",NA,"NIS","1990-1996",1993,1990,"20-29",20,29,25,NA,5,NA,1,0.2,NA,6,NA
"56","Armenia","345","Armenia","Armenia",NA,"NIS","1990-1996",1993,1990,"30-39",30,39,35,NA,15,NA,0,0,NA,17.9,NA
"57","Armenia","345","Armenia","Armenia",NA,"NIS","1990-1996",1993,1990,"40-49",40,49,45,NA,9,NA,3,0.33,NA,10.7,NA
"58","Armenia","345","Armenia","Armenia",NA,"NIS","1990-1996",1993,1990,"50-59",50,59,55,NA,3,NA,1,0.33,NA,3.6,NA
"59","Armenia","345","Armenia","Armenia",NA,"NIS","1990-1996",1993,1990,"≥60",60,60,60.5,NA,3,NA,1,0.33,NA,3.6,NA
"60","Saikia et al. 2010","14","Assam, India","India",NA,"SEAR","2009",2009,2000,"11",11,11,11.5,NA,1,NA,0,0,"0-0",NA,"Saikia et al. 2010"
"61","Saikia et al. 2010","14","Assam, India","India",NA,"SEAR","2009",2009,2000,"13",13,13,13.5,NA,2,NA,1,0.5,"-0.193-1.193",NA,"Saikia et al. 2010"
"62","Saikia et al. 2010","14","Assam, India","India",NA,"SEAR","2009",2009,2000,"15",15,15,15.5,NA,1,NA,0,0,"0-0",NA,"Saikia et al. 2010"
"63","Saikia et al. 2010","14","Assam, India","India",NA,"SEAR","2009",2009,2000,"17",17,17,17.5,NA,1,NA,1,1,"1-1",NA,"Saikia et al. 2010"
"64","Saikia et al. 2010","14","Assam, India","India",NA,"SEAR","2009",2009,2000,"18",18,18,18.5,NA,1,NA,0,0,"0-0",NA,"Saikia et al. 2010"
"65","Saikia et al. 2010","14","Assam, India","India",NA,"SEAR","2009",2009,2000,"20",20,20,20.5,NA,2,NA,0,0,"0-0",NA,"Saikia et al. 2010"
"66","Saikia et al. 2010","14","Assam, India","India",NA,"SEAR","2009",2009,2000,"30",30,30,30.5,NA,1,NA,0,0,"0-0",NA,"Saikia et al. 2010"
"67","Saikia et al. 2010","14","Assam, India","India",NA,"SEAR","2009",2009,2000,"65",65,65,65.5,NA,1,NA,0,0,"0-0",NA,"Saikia et al. 2010"
"68","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"0-1",0,0,0.5,"YES",12,NA,7,0.58,"0.304-0.862",NA,NA
"69","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"2",2,2,2.5,"YES",30,NA,8,0.27,"0.108-0.425",NA,NA
"70","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"3",3,3,3.5,"YES",14,NA,2,0.14,"-0.04-0.326",NA,NA
"71","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"4",4,4,4.5,"YES",4,NA,0,0,"0-0",NA,NA
"72","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"5",5,5,5.5,"YES",1,NA,0,0,"0-0",NA,NA
"73","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"6",6,6,6.5,"YES",1,NA,1,1,"1-1",NA,NA
"74","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"7",7,7,7.5,"YES",3,NA,0,0,"0-0",NA,NA
"75","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"8",8,8,8.5,"YES",0,NA,0,0,"0",NA,NA
"76","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"9",9,9,9.5,"YES",1,NA,0,0,"0-0",NA,NA
"77","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"10",10,10,10.5,"YES",0,NA,0,0,"0",NA,NA
"78","Choremis 1947","347","Athens, Greece","Greece","Outbreak","EUR","1946-1947",1946,1940,"11",11,11,11.5,"YES",0,NA,0,0,"0",NA,NA
"79","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"0-4",0,4,2.5,NA,21,NA,NA,NA,NA,23.9,NA
"80","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"5-9",5,9,7.5,NA,33,NA,NA,NA,NA,37.5,NA
"81","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"10-14",10,14,12.5,NA,12,NA,NA,NA,NA,13.6,NA
"82","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"15-19",15,19,17.5,NA,9,NA,NA,NA,NA,10.2,NA
"83","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"20-24",20,24,22.5,NA,13,NA,NA,NA,NA,14.8,NA
"84","Austin","646","Austin","USA",NA,"AMR","1967-1969",1968,1960,"25-29",25,29,27.5,NA,0,NA,NA,NA,NA,0,NA
