"Study","Location","Year","Ref_index","Dose","Type","Age.min","Age.max","Cases_total","Mild","Moderate","Severe Cases","Carriers","N.at.risk","Controls","Time.since.vacc","VE.orenstein","Conditional.logistic","VE (i.e.1-OR)","VE group","Odds","OR","X23","95%CI"
"Jones 1985","Yemen",1981,NA,"0",NA,5,9,18,16,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones 1985","Yemen",1981,NA,"1",NA,5,9,9,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones 1985","Yemen",1981,NA,"2",NA,5,9,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jones 1985","Yemen",1981,NA,"3+",NA,5,9,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brennan 2000","Russia",1995,403,"0","CC",40,49,17,9,NA,8,NA,NA,42,NA,NA,NA,NA,NA,NA,"Reference",NA,"Reference"
"Brennan 2000","Russia",1995,403,"1","CC",40,49,13,11,NA,2,NA,NA,29,NA,NA,NA,NA,NA,NA,"1.2",NA,"0.5-2.8"
"Brennan 2000","Russia",1995,403,"2","CC",40,49,4,3,NA,1,NA,NA,13,NA,NA,NA,NA,NA,NA,"0.3",NA,"0.1-0.9"
"Brennan 2000","Russia",1995,403,"3+","CC",40,49,5,5,NA,0,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sein 2016","Lao",2012,NA,"0","CC",NA,NA,20,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sein 2016","Lao",2012,NA,"1","CC",NA,NA,4,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sein 2016","Lao",2012,NA,"2","CC",NA,NA,6,NA,NA,NA,NA,NA,7,NA,NA,NA,0.1428571429,NA,NA,"0.8571428571",NA,NA
"Sein 2016","Lao",2012,NA,"3","CC",NA,NA,5,NA,NA,NA,NA,NA,20,NA,NA,NA,0.55,NA,NA,"0.45",NA,NA
"Park 1923","Brooklyn",1922,773,"0","Control Vacc",0,5,27,NA,NA,NA,NA,40000,NA,NA,NA,NA,NA,NA,0.0006754559328,NA,NA,NA
"Park 1923","Brooklyn",1922,773,"3","Control Vacc",0,5,3,NA,NA,NA,NA,15000,NA,NA,NA,NA,0.7038444726,NA,0.000200040008,"0.2961555274",NA,NA
"Park 1923","Manhattan",1922,773,"0","Control Vacc",0,5,29,NA,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,0.0005803365952,NA,NA,NA
"Park 1923","Manhattan",1922,773,"3","Control Vacc",0,5,5,NA,NA,NA,NA,19000,NA,NA,NA,NA,0.5464232874,NA,0.000263227165,"0.4535767126",NA,NA
"Chen 2000","Ukraine",1992,721,"0","Matched CC",0,14,65,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chen 2000","Ukraine",1992,721,"1","Matched CC",0,14,12,NA,NA,NA,NA,NA,7,NA,NA,NA,0.9310344828,NA,NA,"0.06896551724",NA,"0.311-.993"
"Chen 2000","Ukraine",1992,721,"2","Matched CC",0,14,10,NA,NA,NA,NA,NA,18,NA,NA,NA,0.9519230769,NA,NA,"0.04807692308",NA,"0.56-.995"
"Chen 2000","Ukraine",1992,721,"3","Matched CC",0,14,29,NA,NA,NA,NA,NA,54,NA,NA,NA,0.982078853,NA,NA,"0.01792114695",NA,"0.903-.999"
"Chen 2000","Ukraine",1992,721,"4","Matched CC",0,14,57,NA,NA,NA,NA,NA,139,NA,NA,NA,0.9969997,NA,NA,"0.00300030003",NA,"0.972-1.0"
"Chen 2000","Ukraine",1992,721,"5+","Matched CC",0,14,89,NA,NA,NA,NA,NA,295,NA,NA,NA,0.999222395,NA,NA,"0.0007776049767",NA,"0.897-1.0"
"Chen 2000","Ukraine",1992,721,"3+","Matched CC",0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988,NA,NA,"0.012",NA,".938-.998"
"Chen 2000","Ukraine",1992,721,"3+","Matched CC",8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.941,NA,NA,"0.059",NA,".538-.993"
"Meera 2014","India",2008,224,"0","CC - unintentional",NA,NA,412,NA,NA,NA,NA,NA,1299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meera 2014","India",2008,224,"3+","CC - unintentional",NA,NA,23,NA,NA,NA,NA,NA,1171,NA,NA,NA,NA,NA,NA,NA,NA,NA
