"Study","Ref_index","Year","Treatment","Dose","TotalDose","DurationTreatment","Antitoxin","Case","carr.min","carr.max","Num.start","Num.convert","Percent converting ot culture negative","Percent.total.clear","Note"
"Weaver 1921",NA,"1921","none",NA,NA,NA,1,"Case",66,70,2,1,0.5,NA,NA
"Weaver 1921",NA,"1921","none",NA,NA,NA,1,"Case",71,75,0,0,0,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Carrier",0,7,103,16,0.155,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Carrier",8,10,87,25,0.287,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Carrier",11,12,62,17,0.274,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Carrier",13,15,45,12,0.267,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Carrier",16,18,33,8,0.242,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Carrier",19,27,25,14,0.56,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Carrier",28,35,11,4,0.364,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Carrier",36,43,7,3,0.429,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Carrier",44,47,4,4,1,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Case",5,9,44,10,0.227,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Case",10,14,34,8,0.235,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Case",15,19,26,13,0.5,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Case",20,24,13,7,0.538,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Case",25,29,6,5,0.833,NA,NA
"Cumpston 1909",NA,"1909","none",NA,NA,NA,1,"Case",31,31,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,0,"Carrier",19,19,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,0,"Carrier",38,38,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,0,"Carrier",43,43,1,1,1,NA,NA
"Weinstein 1947",705,"1947","none",NA,NA,NA,0,"Carrier",49,49,1,1,1,NA,NA
