"Ref_index","Study","Location","Year.Mid","Age.min","Age.max","n.Suscept","n.Basic","n.Full","n.NotFull","N.age","N","prct.Full1","prct.Suscept","prct.Basic","prct.Full"
92,NA,"China",2012,13,13,11,18,16,29,45,NA,NA,0.244444444444444,0.4,0.355555555555556
92,NA,"China",2012,14,14,4,23,14,27,41,NA,NA,0.0975609756097561,0.560975609756098,0.341463414634146
92,NA,"China",2012,15,15,4,17,18,21,39,NA,NA,0.102564102564103,0.435897435897436,0.461538461538462
92,NA,"China",2012,16,16,5,29,14,34,48,NA,NA,0.104166666666667,0.604166666666667,0.291666666666667
92,NA,"China",2012,17,17,1,16,12,17,29,NA,NA,0.0344827586206897,0.551724137931034,0.413793103448276
297,NA,"Saudi Arabia",2001,1,1,0,30,19,30,49,NA,NA,0,0.612244897959184,0.387755102040816
297,NA,"Saudi Arabia",2001,6,6,0,5,45,5,50,NA,NA,0,0.1,0.9
297,NA,"Saudi Arabia",2001,17,17,6,34,55,40,95,NA,NA,0.0631578947368421,0.357894736842105,0.578947368421053
311,NA,"Brooklyn",1957,0,1,24,17,3,41,44,NA,NA,0.545454545454545,0.386363636363636,0.0681818181818182
311,NA,"Brooklyn",1957,1,4,20,30,21,50,71,NA,NA,0.28169014084507,0.422535211267606,0.295774647887324
311,NA,"Brooklyn",1957,5,9,13,36,15,49,64,NA,NA,0.203125,0.5625,0.234375
311,NA,"Brooklyn",1957,10,14,9,32,5,41,46,NA,NA,0.195652173913043,0.695652173913043,0.108695652173913
311,NA,"Brooklyn",1957,15,19,76,104,17,180,197,NA,NA,0.385786802030457,0.527918781725888,0.0862944162436548
311,NA,"Brooklyn",1957,20,24,75,148,15,223,238,NA,NA,0.315126050420168,0.621848739495798,0.0630252100840336
311,NA,"Brooklyn",1957,25,29,36,89,12,125,137,NA,NA,0.262773722627737,0.64963503649635,0.0875912408759124
311,NA,"Brooklyn",1957,30,39,30,107,26,137,163,NA,NA,0.184049079754601,0.656441717791411,0.159509202453988
311,NA,"Brooklyn",1957,40,49,32,78,4,110,114,NA,NA,0.280701754385965,0.684210526315789,0.0350877192982456
311,NA,"Brooklyn",1957,50,59,24,52,13,76,89,NA,NA,0.269662921348315,0.584269662921348,0.146067415730337
311,NA,"Brooklyn",1957,60,69,20,72,9,92,101,NA,NA,0.198019801980198,0.712871287128713,0.0891089108910891
311,NA,"Brooklyn",1957,70,79,15,76,6,91,97,NA,NA,0.154639175257732,0.783505154639175,0.0618556701030928
311,NA,"Brooklyn",1957,80,85,6,27,1,33,34,NA,NA,0.176470588235294,0.794117647058823,0.0294117647058824
317,NA,"Rio de Janeiro, Brazil",2004,18,30,16,28,16,44,60,NA,NA,0.266666666666667,0.466666666666667,0.266666666666667
317,NA,"Rio de Janeiro, Brazil",2004,31,40,13,20,12,33,45,NA,NA,0.288888888888889,0.444444444444444,0.266666666666667
317,NA,"Rio de Janeiro, Brazil",2004,41,50,10,8,6,18,24,NA,NA,0.416666666666667,0.333333333333333,0.25
317,NA,"Rio de Janeiro, Brazil",2004,51,61,4,3,4,7,11,NA,NA,0.363636363636364,0.272727272727273,0.363636363636364
369,NA,"Republic of Georgia",1995,18,29,48.4,48.4,16.1,45.9,62,NA,NA,0.780645161290323,0.780645161290323,0.259677419354839
