"row","case","Study","Location","Year","Dose","Age.min","Age.max","Cases_total","Controls","Population","Dose013","AgeGroup3"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,1,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
3,0,"Bisgard2000","Russia",1993,"0",6,14,16,14,"Russia 1993","None","5-19y"
4,1,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
4,0,"Bisgard2000","Russia",1993,"1",0,2,1,16,"Russia 1993","Partial","0-4y"
5,1,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
5,1,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
5,0,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
5,0,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
5,0,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
5,0,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
5,0,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
5,0,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
5,0,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
5,0,"Bisgard2000","Russia",1993,"1",3,4,2,8,"Russia 1993","Partial","0-4y"
6,1,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,1,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,1,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
6,0,"Bisgard2000","Russia",1993,"1",6,14,3,10,"Russia 1993","Partial","5-19y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
7,0,"Bisgard2000","Russia",1993,"2",0,2,0,45,"Russia 1993","Partial","0-4y"
